TimeStamp,ON/OFF,Power_W,Current,Sauna Temperature,Humidity,Steam,Water Temperature,Cost,Price_EUR_kWh,T_set
2023-01-12 23:22:19.898102,0.0,72.28,0.31,47.2,99.9,7.59,57.06,2.925714066218667e-06,0.12415999999999999,47
2023-01-12 23:22:21.077150,0.0,73.19,0.32,47.2,99.9,7.67,57.3,2.976202219605333e-06,0.12415999999999999,47
2023-01-12 23:22:22.250995,0.0,72.7,0.32,47.2,99.9,8.79,57.7,2.943231130844444e-06,0.12415999999999999,47
2023-01-12 23:22:23.429011,0.0,72.04,0.31,47.2,99.9,8.42,57.14,2.926874469717333e-06,0.12415999999999999,47
2023-01-12 23:22:24.602260,0.0,73.99,0.32,47.3,99.9,7.47,57.62,2.9939353850559996e-06,0.12415999999999999,47
2023-01-12 23:22:25.780150,0.0,75.92,0.33,47.3,99.9,7.35,57.7,3.0841829879466667e-06,0.12415999999999999,47
2023-01-12 23:22:26.954291,0.0,74.63,0.32,47.3,99.9,6.72,57.46,3.022128303825778e-06,0.12415999999999999,47
2023-01-12 23:22:28.132762,0.0,66.18,0.29,47.3,99.9,6.64,57.38,2.689830202901334e-06,0.12415999999999999,47
2023-01-12 23:22:29.305570,0.0,63.16,0.27,47.2,99.9,8.21,57.06,2.554749037568e-06,0.12415999999999999,47
2023-01-12 23:22:30.484730,0.0,67.13,0.29,47.2,99.9,7.77,57.38,2.7300373502577774e-06,0.12415999999999999,47
2023-01-12 23:22:31.657762,0.0,66.68,0.29,47.3,99.9,6.64,57.3,2.697644108344889e-06,0.12415999999999999,47
2023-01-12 23:22:32.836085,0.0,71.83,0.31,47.3,99.9,6.64,57.54,2.9191030349262224e-06,0.12415999999999999,47
2023-01-12 23:22:34.009645,0.0,68.28,0.3,47.2,99.9,6.28,57.14,2.7636180087466665e-06,0.12415999999999999,47
2023-01-12 23:22:35.189115,0.0,64.84,0.28,47.2,99.9,6.67,57.46,2.637601057991111e-06,0.12415999999999999,47
2023-01-12 23:22:36.361921,0.0,68.83,0.3,47.2,99.9,8.13,57.14,2.7840892398435556e-06,0.12415999999999999,47
2023-01-12 23:22:37.540648,0.0,68.36,0.3,47.2,99.9,7.86,57.06,2.779038022698667e-06,0.12415999999999999,47
2023-01-12 23:22:38.714651,0.0,69.69,0.3,47.3,99.9,6.76,56.74,2.8217522132586665e-06,0.12415999999999999,47
2023-01-12 23:22:39.893236,0.0,68.26,0.3,47.3,99.9,6.62,56.82,2.774638426204444e-06,0.12415999999999999,47
2023-01-12 23:22:41.065903,0.0,66.7,0.29,47.3,99.9,7.33,56.98,2.697613590506666e-06,0.12415999999999999,47
2023-01-12 23:22:42.245030,0.0,63.34,0.28,47.3,99.9,7.57,56.98,2.5758338508302225e-06,0.12415999999999999,47
